t_real	tv	d_tv	e_p_x	e_p_y	e_p_z	e_o_x	e_o_y	e_o_z	e_v_lin_x	e_v_lin_y	e_v_lin_z	e_v_ang_x	e_v_ang_y	e_v_ang_z
0.17	0.17	0.999913	0.0242933	-0.00127235	0.0122639	-0.0765862	-0.00479662	0.000701464	-0.0691207	-0.027219	0.110909	-0.254993	-0.0876861	0.00435956
0.172	0.171999	0.999827	0.0241646	-0.0013253	0.0124895	-0.0773228	-0.00504071	0.000703262	-0.0643282	-0.0264742	0.112795	-0.257788	-0.0854306	0.00324013
0.174	0.173999	0.99974	0.0244831	-0.0013253	0.0127927	-0.0783024	-0.00503513	0.000701009	0.159223	0	0.151604	-0.342841	0.00177629	-0.00172379
0.176	0.175998	0.999654	0.0243112	-0.00138264	0.0130166	-0.0790193	-0.00530065	0.000700263	-0.0859255	-0.0286706	0.111921	-0.250887	-0.0929511	0.0027008
0.178	0.177997	0.999567	0.0241501	-0.00143833	0.0132445	-0.0797448	-0.00555927	0.000696997	-0.0805659	-0.0278487	0.113985	-0.253888	-0.0905778	0.00171728
0.18	0.179996	0.999481	0.0244604	-0.00143833	0.013556	-0.0807223	-0.00555371	0.000694488	0.155129	0	0.15571	-0.342127	0.00176558	-0.00190215
0.182	0.181995	0.999394	0.0242548	-0.00149847	0.0137813	-0.0814144	-0.00583542	0.000688056	-0.102769	-0.0300692	0.112668	-0.242202	-0.0986871	0.00101001
0.184	0.183994	0.999308	0.0240342	-0.00155989	0.0140049	-0.0820817	-0.00612489	0.000677586	-0.110295	-0.0307063	0.111818	-0.233515	-0.101447	-0.000267421
0.186	0.185992	0.999221	0.0243361	-0.00155989	0.0143243	-0.0830571	-0.00611933	0.0006748	0.150929	0	0.159705	-0.341392	0.00175826	-0.00209567
0.188	0.18799	0.999135	0.0240402	-0.00162934	0.0145384	-0.0836771	-0.00644698	0.000658716	-0.147959	-0.0347273	0.107031	-0.216965	-0.114871	-0.00158126
0.19	0.189989	0.999049	0.0243363	-0.00162934	0.014863	-0.0846511	-0.00644143	0.000655772	0.148073	0	0.162305	-0.340892	0.00175583	-0.00220558
0.192	0.191987	0.998962	0.0240782	-0.00169365	0.0150881	-0.0852965	-0.00674372	0.000636587	-0.12907	-0.0321559	0.112547	-0.225844	-0.106055	-0.00300832
0.194	0.193984	0.998876	0.0238345	-0.00175589	0.0153174	-0.0859541	-0.0070357	0.000614565	-0.121821	-0.031119	0.114631	-0.230108	-0.102488	-0.00416642
0.196	0.195982	0.998789	0.024092	-0.00175939	0.0156439	-0.0869083	-0.00704684	0.000610178	0.128707	-0.00174768	0.163266	-0.333959	-0.00409797	-0.00253985
0.198	0.197979	0.998703	0.0238304	-0.00182298	0.0158744	-0.0875607	-0.00734521	0.000584264	-0.130784	-0.0317996	0.115253	-0.228267	-0.104784	-0.0053768
0.2	0.199976	0.998617	0.0235543	-0.00188788	0.0161039	-0.088209	-0.00765001	0.000554824	-0.138026	-0.0324501	0.114738	-0.226837	-0.107082	-0.00650637
0.202	0.201974	0.99853	0.0238328	-0.00188788	0.0164435	-0.0891785	-0.00764444	0.000551296	0.139244	0	0.169794	-0.339335	0.00176002	-0.00261334
0.204	0.20397	0.998444	0.0235391	-0.0019541	0.0166743	-0.089822	-0.007956	0.000518214	-0.14684	-0.0331056	0.115436	-0.225168	-0.109502	-0.00761627
0.206	0.205967	0.998358	0.0231329	-0.00203298	0.0168847	-0.0904025	-0.00832937	0.000475932	-0.203145	-0.0394416	0.105158	-0.203076	-0.13124	-0.00978351
0.208	0.207964	0.998271	0.0234022	-0.00203298	0.0172314	-0.0913697	-0.00832378	0.000472078	0.134687	0	0.173358	-0.338527	0.00176923	-0.00284214
0.21	0.20996	0.998013	0.0230753	-0.0021016	0.0174605	-0.0919636	-0.00865168	0.000431585	-0.163469	-0.0343082	0.114579	-0.20777	-0.115324	-0.0098322
0.212	0.211955	0.997754	0.0227012	-0.00217503	0.01768	-0.0925076	-0.00900503	0.00038522	-0.187058	-0.0367151	0.109738	-0.190329	-0.124305	-0.0114042
0.214	0.21395	0.997495	0.0223468	-0.00224564	0.0179038	-0.0930601	-0.00934465	0.000337308	-0.177185	-0.0353065	0.111881	-0.193272	-0.119528	-0.0121844
0.216	0.215945	0.997237	0.0225691	-0.00224959	0.018252	-0.0940004	-0.00935834	0.000330433	0.111169	-0.00197698	0.174125	-0.32909	-0.00500174	-0.00371812
0.218	0.217939	0.996979	0.0221623	-0.00232535	0.0184677	-0.0945203	-0.00972273	0.000275696	-0.203439	-0.0378798	0.10783	-0.181891	-0.128299	-0.0140517
0.22	0.219932	0.996721	0.0217403	-0.00240234	0.0186805	-0.0950343	-0.0100929	0.000216837	-0.210981	-0.0384936	0.106424	-0.179781	-0.130401	-0.0153866
0.222	0.221925	0.996463	0.0219874	-0.00240234	0.0190425	-0.0959948	-0.0100873	0.000212147	0.123569	0	0.180969	-0.336157	0.00180907	-0.00342708
0.224	0.223917	0.996205	0.021547	-0.00248058	0.0192547	-0.0965026	-0.0104638	0.000149007	-0.22024	-0.0391207	0.106095	-0.177636	-0.132668	-0.0167038
